# sen(phi)	 cos(phi)	 cos(theta)	 Jpar[nA/m2]
0.1328	0.9911	-0.0261	8.8958
0.1328	0.9911	0.0034	6.3662
0.1328	0.9911	0.0329	4.4282
0.1037	0.9946	-0.0851	16.3142
0.1037	0.9946	-0.0557	11.8662
0.1037	0.9946	-0.0262	8.5647
0.1037	0.9946	0.0035	6.1454
0.1037	0.9946	0.0331	4.3169
0.1037	0.9946	0.0626	2.8334
0.1037	0.9946	0.0919	1.5567
0.0742	0.9972	-0.1146	22.1571
0.0742	0.9972	-0.0853	16.2446
0.0742	0.9972	-0.0558	11.6882
0.0742	0.9972	-0.0262	8.3898
0.0742	0.9972	0.0035	6.0351
0.0742	0.9972	0.0331	4.2889
0.0742	0.9972	0.0627	2.8670
0.0742	0.9972	0.0922	1.6067
0.0446	0.9990	-0.1148	22.6119
0.0446	0.9990	-0.0855	16.4065
0.0446	0.9990	-0.0559	11.7274
0.0446	0.9990	-0.0263	8.3981
0.0446	0.9990	0.0035	6.0818
0.0446	0.9990	0.0332	4.3851
0.0446	0.9990	0.0628	2.9891
0.0446	0.9990	0.0923	1.7113
0.0446	0.9990	0.1216	0.4849
0.0149	0.9999	-0.1149	23.2660
0.0149	0.9999	-0.0855	16.8216
0.0149	0.9999	-0.0560	12.0108
0.0149	0.9999	-0.0263	8.6330
0.0149	0.9999	0.0035	6.3155
0.0149	0.9999	0.0332	4.6270
0.0149	0.9999	0.0629	3.2156
0.0149	0.9999	0.0924	1.8797
0.0149	0.9999	0.1217	0.5414
-0.0149	0.9999	-0.1149	24.2661
-0.0149	0.9999	-0.0855	17.5786
-0.0149	0.9999	-0.0560	12.5945
-0.0149	0.9999	-0.0263	9.0919
-0.0149	0.9999	0.0035	6.7133
-0.0149	0.9999	0.0332	4.9917
-0.0149	0.9999	0.0629	3.5276
-0.0149	0.9999	0.0924	2.1002
-0.0149	0.9999	0.1217	0.6133
-0.0446	0.9990	-0.1148	25.7597
-0.0446	0.9990	-0.0855	18.7465
-0.0446	0.9990	-0.0559	13.4963
-0.0446	0.9990	-0.0263	9.7895
-0.0446	0.9990	0.0035	7.2757
-0.0446	0.9990	0.0332	5.4609
-0.0446	0.9990	0.0628	3.9035
-0.0446	0.9990	0.0923	2.3535
-0.0446	0.9990	0.1216	0.6946
-0.0742	0.9972	-0.1146	27.9819
