# species	max	min	mean	stdev	median	Quant25	Quant50	Quant75	\nuPhoto
plusBz_EII-H	2.20e-07	0.00e+00	1.52e-08	3.16e-08	1.25e-09	6.38e-11	1.25e-09	1.31e-08	3.0e-7
plusBz_EII-He	1.40e-07	0.00e+00	1.12e-08	2.15e-08	1.27e-09	5.39e-11	1.27e-09	1.17e-08	2.0e-7
plusBz_EII-O	6.09e-07	0.00e+00	4.77e-08	9.32e-08	4.07e-09	1.89e-10	4.07e-09	4.94e-08	8.0e-7
plusBz_EII-Na	3.67e-07	0.00e+00	2.80e-08	5.95e-08	1.64e-09	8.82e-11	1.64e-09	2.14e-08	3.0e-6
plusBz_EII-Mg	3.53e-07	0.00e+00	1.80e-08	4.33e-08	8.75e-10	0.00e+00	8.75e-10	1.17e-08	2.4e-6
plusBz_EII-Al	2.91e-06	0.00e+00	1.97e-07	4.19e-07	1.64e-08	7.74e-10	1.64e-08	1.55e-07	3.0e-3
plusBz_EII-Si	2.21e-06	0.00e+00	1.69e-07	3.28e-07	2.02e-08	8.38e-10	2.02e-08	1.75e-07	8.0e-5
plusBz_EII-K	2.26e-06	0.00e+00	1.70e-07	3.38e-07	2.26e-08	8.34e-10	2.26e-08	1.59e-07	8.0e-5
plusBz_EII-Ca	4.77e-07	0.00e+00	2.88e-08	6.91e-08	9.07e-10	6.94e-11	9.07e-10	1.74e-08	2.8e-4
plusBz_EII-Mn	2.52e-06	0.00e+00	1.90e-07	3.75e-07	2.47e-08	9.34e-10	2.47e-08	1.84e-07	2.4e-6
minusBz_EII-H	1.38e-07	0.00e+00	2.03e-08	2.88e-08	6.76e-09	1.21e-09	6.76e-09	2.85e-08	3.0e-7
minusBz_EII-He	1.10e-07	0.00e+00	1.30e-08	1.97e-08	4.20e-09	1.25e-10	4.20e-09	1.75e-08	2.0e-7
minusBz_EII-O	4.30e-07	0.00e+00	6.44e-08	8.42e-08	2.83e-08	7.17e-09	2.83e-08	8.82e-08	8.0e-7
minusBz_EII-Na	5.47e-07	0.00e+00	4.17e-08	8.36e-08	5.22e-09	0.00e+00	5.22e-09	4.32e-08	3.0e-6
minusBz_EII-Mg	5.10e-07	0.00e+00	3.54e-08	7.47e-08	2.36e-09	0.00e+00	2.36e-09	2.54e-08	2.4e-6
minusBz_EII-Al	2.05e-06	0.00e+00	2.99e-07	4.02e-07	1.32e-07	2.36e-08	1.32e-07	3.98e-07	3.0e-3
minusBz_EII-Si	1.50e-06	0.00e+00	2.12e-07	3.02e-07	7.80e-08	7.55e-09	7.80e-08	2.98e-07	8.0e-5
minusBz_EII-K	1.45e-06	0.00e+00	2.48e-07	3.16e-07	1.15e-07	2.74e-08	1.15e-07	3.36e-07	8.0e-5
minusBz_EII-Ca	6.80e-07	0.00e+00	4.24e-08	9.06e-08	3.37e-09	0.00e+00	3.37e-09	4.57e-08	2.8e-4
minusBz_EII-Mn	1.59e-06	0.00e+00	2.61e-07	3.43e-07	1.06e-07	2.93e-08	1.06e-07	3.68e-07	2.4e-6



