#phi	 theta	 comment
0.0000	 0.0000	 backward-outbox
0.0000	 0.0628	 backward-outbox
0.0628	 0.0000	 backward-outbox
0.0628	 0.0628	 backward-outbox
0.1257	 0.0000	 backward-outbox
0.1257	 0.0628	 backward-outbox
0.1885	 0.0000	 backward-outbox
0.2513	 0.0000	 backward-outbox
0.3142	 0.0000	 backward-outbox
0.3770	 0.0000	 backward-outbox
0.4398	 0.0000	 backward-outbox
0.4398	 0.0628	 backward-outbox
0.5027	 0.0000	 backward-outbox
0.5027	 0.0628	 backward-outbox
0.5027	 3.0788	 forward-outbox
0.5655	 0.0000	 backward-outbox
0.5655	 0.0628	 backward-outbox
0.5655	 3.0788	 forward-outbox
0.6283	 0.0000	 backward-outbox
0.6283	 0.0628	 backward-outbox
0.6283	 3.0788	 forward-outbox
0.6912	 0.0000	 backward-outbox
0.6912	 0.0628	 backward-outbox
0.7540	 0.0000	 backward-outbox
0.7540	 0.0628	 backward-outbox
0.8168	 0.0000	 backward-outbox
0.8168	 0.0628	 backward-outbox
0.8796	 0.0000	 backward-outbox
0.8796	 0.0628	 backward-outbox
0.9425	 0.0000	 backward-outbox
0.9425	 0.0628	 backward-outbox
1.0053	 0.0000	 backward-outbox
1.0053	 0.0628	 backward-outbox
1.0681	 0.0000	 backward-outbox
1.0681	 0.0628	 backward-outbox
1.1310	 0.0000	 backward-outbox
1.1310	 0.0628	 backward-outbox
1.1310	 3.0159	 forward-outbox
1.1938	 0.0000	 backward-outbox
1.1938	 0.0628	 backward-outbox
1.1938	 3.0159	 forward-outbox
1.1938	 3.0788	 forward-outbox
1.2566	 0.0000	 backward-outbox
1.2566	 0.0628	 backward-outbox
1.2566	 3.0159	 forward-outbox
1.2566	 3.0788	 forward-outbox
1.3195	 0.0000	 backward-outbox
1.3195	 0.0628	 backward-outbox
1.3195	 3.0159	 forward-outbox
1.3195	 3.0788	 forward-outbox
1.3823	 0.0000	 backward-outbox
1.3823	 0.0628	 backward-outbox
1.3823	 3.0159	 forward-outbox
1.3823	 3.0788	 forward-outbox
1.4451	 0.0000	 backward-outbox
1.4451	 0.0628	 backward-outbox
1.4451	 2.9531	 forward-outbox
1.4451	 3.0159	 forward-outbox
1.4451	 3.0788	 forward-outbox
1.5080	 0.0000	 backward-outbox
1.5080	 0.0628	 backward-outbox
1.5080	 2.9531	 forward-outbox
1.5080	 3.0159	 forward-outbox
1.5080	 3.0788	 forward-outbox
1.5708	 0.0000	 backward-outbox
1.5708	 0.0628	 backward-outbox
1.5708	 2.9531	 forward-outbox
1.5708	 3.0159	 forward-outbox
1.5708	 3.0788	 forward-outbox
1.6336	 0.0000	 backward-outbox
1.6336	 0.0628	 backward-outbox
1.6336	 2.9531	 forward-outbox
1.6336	 3.0159	 forward-outbox
1.6336	 3.0788	 forward-outbox
1.6965	 0.0000	 backward-outbox
1.6965	 0.0628	 backward-outbox
1.6965	 0.1257	 backward-outbox
1.6965	 2.9531	 forward-outbox
1.6965	 3.0159	 forward-outbox
1.6965	 3.0788	 forward-outbox
1.7593	 0.0000	 backward-outbox
1.7593	 0.0628	 backward-outbox
1.7593	 0.1257	 backward-outbox
1.7593	 2.8903	 forward-outbox
1.7593	 2.9531	 forward-outbox
1.7593	 3.0159	 forward-outbox
1.7593	 3.0788	 forward-outbox
1.8221	 0.0000	 backward-outbox
1.8221	 0.0628	 backward-outbox
1.8221	 0.1257	 backward-outbox
1.8221	 2.8903	 forward-outbox
1.8221	 2.9531	 forward-outbox
1.8221	 3.0159	 forward-outbox
1.8221	 3.0788	 forward-outbox
1.8850	 0.0000	 backward-outbox
1.8850	 0.0628	 backward-outbox
1.8850	 0.1257	 backward-outbox
1.8850	 2.8903	 forward-outbox
1.8850	 2.9531	 forward-outbox
1.8850	 3.0159	 forward-outbox
1.8850	 3.0788	 forward-outbox
1.9478	 0.0000	 backward-outbox
1.9478	 0.0628	 backward-outbox
