#phi	 theta	 comment
1.5080	 0.2177	 backward-outbox
1.5394	 0.2177	 backward-outbox
1.5708	 0.2177	 backward-outbox
1.6022	 0.1866	 backward-outbox
1.6022	 0.2177	 backward-outbox
1.6022	 0.2488	 backward-outbox
1.6336	 0.1866	 backward-outbox
1.6336	 0.2177	 backward-outbox
1.6336	 0.2488	 backward-outbox
1.6650	 0.1866	 backward-outbox
1.6650	 0.2177	 backward-outbox
1.6650	 0.2488	 backward-outbox
1.6965	 0.1866	 backward-outbox
1.6965	 0.2177	 backward-outbox
1.6965	 0.2488	 backward-outbox
1.7279	 0.1866	 backward-outbox
1.7279	 0.2177	 backward-outbox
1.7279	 0.2488	 backward-outbox
1.7593	 0.1555	 backward-outbox
1.7593	 0.1866	 backward-outbox
1.7593	 0.2177	 backward-outbox
1.7593	 0.2488	 backward-outbox
1.7907	 0.1555	 backward-outbox
1.7907	 0.1866	 backward-outbox
1.7907	 0.2177	 backward-outbox
1.7907	 0.2488	 backward-outbox
1.8221	 0.1555	 backward-outbox
1.8221	 0.1866	 backward-outbox
1.8221	 0.2177	 backward-outbox
1.8221	 0.2488	 backward-outbox
1.8535	 0.1555	 backward-outbox
1.8535	 0.1866	 backward-outbox
1.8535	 0.2177	 backward-outbox
1.8535	 0.2488	 backward-outbox
1.8850	 0.1244	 backward-outbox
1.8850	 0.1555	 backward-outbox
1.8850	 0.1866	 backward-outbox
1.8850	 0.2177	 backward-outbox
1.8850	 0.2488	 backward-outbox
1.9164	 0.1244	 backward-outbox
1.9164	 0.1555	 backward-outbox
1.9164	 0.1866	 backward-outbox
1.9164	 0.2177	 backward-outbox
1.9164	 0.2488	 backward-outbox
1.9478	 0.1244	 backward-outbox
1.9478	 0.1555	 backward-outbox
1.9478	 0.1866	 backward-outbox
1.9478	 0.2177	 backward-outbox
1.9478	 0.2488	 backward-outbox
1.9792	 0.1244	 backward-outbox
1.9792	 0.1555	 backward-outbox
1.9792	 0.1866	 backward-outbox
1.9792	 0.2177	 backward-outbox
1.9792	 0.2488	 backward-outbox
2.0106	 0.1244	 backward-outbox
2.0106	 0.1555	 backward-outbox
2.0106	 0.1866	 backward-outbox
2.0106	 0.2177	 backward-outbox
2.0106	 0.2488	 backward-outbox
2.0420	 0.1244	 backward-outbox
2.0420	 0.1555	 backward-outbox
