#seg	 value
0	-0.000151740
100	-0.000161900
200	-0.000145036
300	-0.000164710
400	-0.000201302
500	-0.000175890
600	-0.000221136
700	-0.000250930
800	-0.000280886
900	-0.000324089
1000	-0.000313638
1100	-0.000297884
1200	-0.000346700
1300	-0.000345827
1400	-0.000392975
2000	-0.000279121
2100	-0.000285608
2200	-0.000265301
2300	-0.000280543
2400	-0.000264993
2500	-0.000225241
2600	-0.000246833
2700	-0.000233704
2800	-0.000288917
2900	-0.000229916
3000	-0.000222794
3100	-0.000192532
3200	-0.000171311
3300	-0.000193716
3400	-0.000136017
4000	-0.000175059
4100	-0.000135681
4200	-0.000087755
4300	-0.000204815
4400	-0.000166762
4500	-0.000172345
4600	-0.000188842
4700	-0.000180681
4800	-0.000199742
4900	-0.000167050
6000	-0.000285771
6100	-0.000248802
6200	-0.000200248
6300	-0.000165379
6400	-0.000191949
6500	-0.000196569
6600	-0.000183026
