#seg	 value
0	0.000009717
100	0.000017043
200	0.000015662
300	0.000018393
400	0.000026859
500	0.000223669
600	0.000177373
700	0.000208550
800	0.000154058
900	0.000152714
1000	0.000129784
1100	0.000117493
1200	0.000123993
1300	0.000141859
1400	0.000114160
1500	0.000088930
1600	0.000086039
2501	0.000104927
2600	0.000118714
2700	0.000123772
2800	0.000111454
2900	0.000127843
3000	0.000126829
3100	0.000103929
3200	0.000129087
3300	0.000121182
3400	0.000106437
3500	0.000103693
3600	0.000073476
3700	0.000098219
3800	0.000094203
3900	0.000111787
4000	0.000101411
4100	0.000117530
4200	0.000106345
4300	0.000104531
4400	0.000086168
4500	0.000086268
4600	0.000077135
4700	0.000097152
4800	0.000083033
4900	0.000099074
5000	0.000091286
5100	0.000111931
5200	0.000122977
5300	0.000140982
5400	0.000099778
5500	0.000079613
5600	0.000099092
5700	0.000128443
5800	0.000131399
