#seg	 value
0	0.000009526
100	0.000069804
200	0.000064081
300	0.000087053
400	0.000088775
500	0.000031013
600	0.000036019
700	0.000048351
800	0.000049098
900	0.000057232
1000	0.000072763
1100	0.000057110
1200	0.000046672
1300	0.000053750
1400	0.000032379
1500	0.000043482
1600	0.000056808
2501	0.000123227
2600	0.000112896
2700	0.000106984
2800	0.000099351
2900	0.000100679
3000	0.000073870
3100	0.000100746
3200	0.000104903
3300	0.000096114
3400	0.000118836
3500	0.000111212
3600	0.000118058
3700	0.000108055
3800	0.000131008
3900	0.000102422
4000	0.000118427
4100	0.000092775
4200	0.000092984
4300	0.000079675
4400	0.000083582
4500	0.000073645
4600	0.000089123
4700	0.000078087
4800	0.000075538
4900	0.000067242
5000	0.000082317
5100	0.000103778
5200	0.000103475
5300	0.000082400
5400	0.000080004
5500	0.000117656
5600	0.000101938
5700	0.000098031
5800	0.000107230
