#seg	 value
0	0.000009603
100	0.000096464
200	0.000043536
300	0.000049666
400	0.000049736
500	0.000039889
600	0.000070210
700	0.000090487
800	0.000078151
900	0.000089125
1000	0.000106524
1100	0.000082744
1200	0.000050930
1300	0.000072624
1400	0.000049166
1500	0.000066166
1600	0.000071242
2501	0.000184328
2600	0.000184804
2700	0.000174715
2800	0.000155563
2900	0.000152163
3000	0.000118037
3100	0.000153371
3200	0.000167773
3300	0.000156063
3400	0.000189806
3500	0.000179623
3600	0.000166936
3700	0.000167491
3800	0.000214730
3900	0.000173952
4000	0.000190810
4100	0.000153895
4200	0.000155501
4300	0.000144467
4400	0.000138171
4500	0.000109119
4600	0.000115832
4700	0.000124429
4800	0.000129095
4900	0.000115257
5000	0.000135933
5100	0.000156936
5200	0.000166919
5300	0.000137336
5400	0.000123574
5500	0.000187061
5600	0.000175372
5700	0.000157461
5800	0.000165220
