#seg	 value
0	0.000018975
100	0.000112949
200	0.000148707
300	0.000211493
400	0.000216590
500	0.000053149
600	0.000037847
700	0.000054566
800	0.000069144
900	0.000082571
1000	0.000111764
1100	0.000088587
1200	0.000089085
1300	0.000088625
1400	0.000047969
1500	0.000064280
1600	0.000099182
2501	0.000185353
2600	0.000153885
2700	0.000146237
2800	0.000142489
2900	0.000149875
3000	0.000103574
3100	0.000148867
3200	0.000146937
3300	0.000132280
3400	0.000166701
3500	0.000154014
3600	0.000187238
3700	0.000156675
3800	0.000178295
3900	0.000133314
4000	0.000164472
4100	0.000124430
4200	0.000123450
4300	0.000094557
4400	0.000112575
4500	0.000111817
4600	0.000151536
4700	0.000109833
4800	0.000097520
4900	0.000086470
5000	0.000111018
5100	0.000154398
5200	0.000143505
5300	0.000109864
5400	0.000116438
5500	0.000165907
5600	0.000130443
5700	0.000136632
5800	0.000156469
