#seg	 value
0	0.076987773
100	0.046307679
200	0.029567113
300	0.027004873
400	0.011615581
500	0.003251445
600	0.002918926
700	0.003315636
800	0.004711340
900	0.005795155
1000	0.009435160
1100	0.006010148
1200	0.012128469
1300	0.010656644
1400	0.010865455
1500	0.015786111
1600	0.017912610
2501	0.007885458
2600	0.006169749
2700	0.005639019
2800	0.006297627
2900	0.006492930
3000	0.007256853
3100	0.007665392
3200	0.006351713
3300	0.005581872
3400	0.006032445
3500	0.005473959
3600	0.005856384
3700	0.006153369
3800	0.005853379
3900	0.005459917
4000	0.006306218
4100	0.005997397
4200	0.006478739
4300	0.005847806
4400	0.005778787
4500	0.010467269
4600	0.008709117
4700	0.007747322
4800	0.006227921
4900	0.005748966
5000	0.006188477
5100	0.006141457
5200	0.005710552
5300	0.006024785
5400	0.007167027
5500	0.006587616
5600	0.004959865
5700	0.007310879
5800	0.006633032
