#seg	 value
0	0.079253741
100	0.131754011
200	0.089515992
300	0.070958421
400	0.040476847
500	0.008301886
600	0.004971854
700	0.005639211
800	0.007360251
900	0.011899772
1000	0.016629083
1100	0.015563974
1200	0.024476476
1300	0.021668175
1400	0.018569160
1500	0.027974624
1600	0.027750200
2501	0.010654178
2600	0.011296289
2700	0.011166812
2800	0.012446918
2900	0.011102528
3000	0.013235438
3100	0.014270351
3200	0.010885003
3300	0.009680472
3400	0.009928489
3500	0.008643812
3600	0.011121942
3700	0.010631207
3800	0.009468898
3900	0.010410576
4000	0.011158889
4100	0.011169158
4200	0.012111346
4300	0.011308668
4400	0.011034952
4500	0.012969396
4600	0.011055236
4700	0.013736424
4800	0.012694553
4900	0.011606725
5000	0.011754307
5100	0.010435543
5200	0.010005496
5300	0.011280143
5400	0.013275949
5500	0.012600360
5600	0.009257806
5700	0.012657699
5800	0.011628297
