# time[min]	 x[di]	 y[di]	 z[di]
-334.683333	 206.223442	 -207.613557	 99.671998
-334.516667	 206.138743	 -207.494753	 99.637797
-334.350000	 206.054046	 -207.375949	 99.603596
-334.183333	 205.969351	 -207.257142	 99.569395
-334.016667	 205.884658	 -207.138334	 99.535194
-333.850000	 205.799966	 -207.019525	 99.500993
-333.683333	 205.715276	 -206.900713	 99.466791
-333.516667	 205.630588	 -206.781900	 99.432590
-333.350000	 205.545902	 -206.663086	 99.398389
-333.183333	 205.461218	 -206.544270	 99.364187
-333.016667	 205.376536	 -206.425452	 99.329986
-332.850000	 205.291855	 -206.306633	 99.295784
-332.683333	 205.207177	 -206.187812	 99.261583
-332.516667	 205.122500	 -206.068989	 99.227381
-332.350000	 205.037825	 -205.950165	 99.193179
-332.183333	 204.953152	 -205.831339	 99.158977
-332.016667	 204.868481	 -205.712512	 99.124776
-331.850000	 204.783811	 -205.593683	 99.090574
-331.683333	 204.699144	 -205.474852	 99.056372
-331.516667	 204.614478	 -205.356020	 99.022170
-331.350000	 204.529814	 -205.237186	 98.987967
-331.183333	 204.445152	 -205.118350	 98.953765
-331.016667	 204.360492	 -204.999513	 98.919563
-330.850000	 204.275833	 -204.880674	 98.885361
-330.683333	 204.191177	 -204.761834	 98.851158
-330.516667	 204.106522	 -204.642992	 98.816956
-330.350000	 204.021869	 -204.524148	 98.782753
-330.183333	 203.937218	 -204.405303	 98.748551
-330.016667	 203.852569	 -204.286456	 98.714348
-329.850000	 203.767922	 -204.167607	 98.680145
-329.683333	 203.683276	 -204.048757	 98.645943
-329.516667	 203.598633	 -203.929905	 98.611740
-329.350000	 203.513991	 -203.811052	 98.577537
-329.183333	 203.429351	 -203.692197	 98.543334
-329.016667	 203.344713	 -203.573340	 98.509131
-328.850000	 203.260077	 -203.454482	 98.474928
-328.683333	 203.175442	 -203.335622	 98.440724
-328.516667	 203.090810	 -203.216760	 98.406521
-328.350000	 203.006179	 -203.097897	 98.372318
-328.183333	 202.921550	 -202.979032	 98.338114
