# time[min]	 x[di]	 y[di]	 z[di]
-76.700000	 57.893000	 -66.440000	 -6.781500
-75.700000	 57.670525	 -65.182150	 -6.289195
-74.700000	 57.439525	 -63.873150	 -5.777695
-73.700000	 57.208525	 -62.564150	 -5.266195
-72.700000	 56.977525	 -61.255150	 -4.756840
-71.700000	 56.746525	 -59.946150	 -4.245340
-70.700000	 56.515525	 -58.637150	 -3.733840
-69.700000	 56.284525	 -57.328150	 -3.222340
-68.700000	 56.053525	 -56.019150	 -2.710840
-67.700000	 55.824670	 -54.710150	 -2.199285
-66.700000	 55.597025	 -53.401150	 -1.687785
-65.700000	 55.366025	 -52.092150	 -1.174140
-64.700000	 55.135025	 -50.783150	 -0.662640
-63.700000	 54.904025	 -49.474150	 -0.151140
-62.700000	 54.673025	 -48.165150	 0.360360
-61.700000	 54.442025	 -46.856150	 0.871860
-60.700000	 54.213115	 -45.544950	 1.383360
-59.700000	 53.985525	 -44.232650	 1.894860
-58.700000	 53.754525	 -42.923650	 2.406360
-57.700000	 53.523525	 -41.614650	 2.917860
-56.700000	 53.292525	 -40.305650	 3.429360
-55.700000	 53.067025	 -38.991150	 3.940860
-54.700000	 52.836025	 -37.682150	 4.455770
-53.700000	 52.605025	 -36.373150	 4.967270
-52.700000	 52.374025	 -35.058650	 5.480860
-51.700000	 52.148470	 -33.749650	 5.992360
-50.700000	 51.917470	 -32.438450	 6.503915
-49.700000	 51.686470	 -31.126150	 7.015415
-48.700000	 51.457615	 -29.817150	 7.526915
-47.700000	 51.229970	 -28.502650	 8.041770
-46.700000	 50.998970	 -27.191450	 8.555415
-45.700000	 50.767970	 -25.879150	 9.066915
-44.700000	 50.542470	 -24.564100	 9.578415
-43.700000	 50.311470	 -23.255100	 10.093325
-42.700000	 50.080470	 -21.940820	 10.604825
-41.700000	 49.854970	 -20.626320	 11.118470
-40.700000	 49.623970	 -19.315175	 11.629970
-38.900000	 49.211470	 -16.952265	 12.553970
-37.900000	 48.980470	 -15.637765	 13.068880
-36.900000	 48.754970	 -14.323265	 13.582470
-35.900000	 48.523970	 -13.008710	 14.093970
-34.900000	 48.292970	 -11.694210	 14.608880
-33.900000	 48.067470	 -10.377620	 15.122470
-32.900000	 47.836470	 -9.059710	 15.637380
-31.900000	 47.605470	 -7.745155	 16.151025
-30.900000	 47.379970	 -6.430655	 16.665880
-29.900000	 47.148915	 -5.110655	 17.179525
-28.900000	 46.917915	 -3.796100	 17.694380
-27.900000	 46.692415	 -2.476100	 18.208025
-26.900000	 46.461415	 -1.161600	 18.725025
-25.900000	 46.230415	 0.158400	 19.239935
-24.900000	 45.999415	 1.478455	 19.753525
-23.900000	 45.770560	 2.798455	 20.270525
-22.900000	 45.542915	 4.118455	 20.787525
-21.900000	 45.311915	 5.438455	 21.302435
-20.900000	 45.080915	 6.764010	 21.819435
-19.900000	 44.849915	 8.084010	 22.336490
-18.900000	 44.618915	 9.409565	 22.853490
-17.900000	 44.387915	 10.732975	 23.370490
-16.900000	 44.153505	 12.058530	 23.889635
-15.900000	 43.920415	 13.386120	 24.406635
-14.900000	 43.689415	 14.711620	 24.926990
-13.900000	 43.452915	 16.042620	 25.446135
-12.900000	 43.221915	 17.373620	 25.966490
-11.900000	 42.985415	 18.704620	 26.488990
-10.900000	 42.745505	 20.041120	 27.011490
-9.900000	 42.506915	 21.377620	 27.534018
-8.900000	 42.267005	 22.719620	 28.058613
-7.900000	 42.022915	 24.061675	 28.584529
-6.900000	 41.777505	 25.409175	 29.112528
-5.900000	 41.524505	 26.760085	 29.640528
-4.900000	 41.269360	 28.113090	 30.174034
-3.900000	 41.005360	 29.471591	 30.707534
-2.900000	 40.732505	 30.835590	 31.246534
-1.900000	 40.443095	 32.199613	 31.785545
-0.900000	 40.140595	 33.569113	 32.330045
0.100000	 39.821595	 34.933113	 32.871141
1.100000	 39.486095	 36.297112	 33.415641
2.100000	 39.136185	 37.650135	 33.958056
3.100000	 38.773185	 38.994230	 34.502556
4.100000	 38.402568	 40.330730	 35.041556
5.100000	 38.025157	 41.661730	 35.577157
6.100000	 37.640158	 42.981730	 36.114061
7.100000	 37.255158	 44.296230	 36.647562
8.100000	 36.870146	 45.605285	 37.177668
9.100000	 36.485146	 46.910875	 37.709072
10.100000	 36.094647	 48.214375	 38.237073
11.100000	 35.704147	 49.512375	 38.765100
12.100000	 35.319141	 50.808285	 39.289690
13.100000	 34.928641	 52.102875	 39.815600
14.100000	 34.538141	 53.395375	 40.340190
15.100000	 34.147635	 54.685840	 40.866100
16.100000	 33.757135	 55.972840	 41.390690
17.100000	 33.366636	 57.259840	 41.913190
18.100000	 32.976135	 58.546840	 42.435690
22.000000	 31.458125	 63.548430	 44.474100
23.000000	 31.073124	 64.829930	 44.993190
24.000000	 30.682624	 66.111430	 45.515690
25.000000	 30.292119	 67.392985	 46.036100
26.000000	 29.901619	 68.668985	 46.555190
27.000000	 29.516619	 69.950485	 47.075600
28.000000	 29.126113	 71.226485	 47.594690
29.000000	 28.741108	 72.505895	 48.117190
30.000000	 28.350608	 73.783985	 48.634190
31.000000	 27.960108	 75.059985	 49.154655
32.000000	 27.575102	 76.336040	 49.673745
33.000000	 27.184630	 77.612040	 50.194155
34.000000	 26.799630	 78.888040	 50.713245
35.000000	 26.409075	 80.164040	 51.230245
36.000000	 26.024075	 81.440040	 51.750655
37.000000	 25.639075	 82.713950	 52.269745
38.000000	 25.248575	 83.986540	 52.786745
39.000000	 24.863575	 85.262540	 53.307155
40.000000	 24.475165	 86.536450	 53.824155
41.000000	 24.088075	 87.809040	 54.343245
42.000000	 23.703075	 89.085150	 54.860245
43.000000	 23.318075	 90.355650	 55.377245
44.000000	 22.927575	 91.631650	 55.897655
45.000000	 22.542575	 92.902150	 56.414655
46.000000	 22.157575	 94.178150	 56.933745
47.000000	 21.772575	 95.448650	 57.450745
48.000000	 21.387575	 96.722450	 57.967745
49.000000	 20.997075	 97.995150	 58.484745
50.000000	 20.612075	 99.265650	 59.001745
51.000000	 20.227075	 100.539450	 59.522210
52.000000	 19.842075	 101.812150	 60.039210
53.000000	 19.457075	 103.082650	 60.556210
54.000000	 19.072075	 104.353150	 61.073210
55.000000	 18.687075	 105.626950	 61.590210
56.000000	 18.302075	 106.899650	 62.107210
57.000000	 17.917075	 108.170150	 62.624210
58.000000	 17.532075	 109.440650	 63.141210
59.000000	 17.147075	 110.711150	 63.658210
60.000000	 16.762075	 111.981650	 64.175210
